GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
310M300US10100,10100,"Aberdeen, SD Micro Area",39040,100,19219,102,1213,34,1229,182,1245,178,692,19,501,75,1285,105,1385,111,1267,24,2141,64,2553,34,2687,60,1623,28,1043,99,355,91,19821,139,1150,38,1514,170,999,163,817,96,542,16,1190,76,1172,24,1190,48,2102,38,2482,53,2779,45,1763,86,1324,167,797,169
310M300US10140,10140,"Aberdeen, WA Micro Area",62880,316,32063,204,1667,60,1583,192,1880,202,1096,41,658,12,1785,54,1981,11,1889,30,3861,21,4270,60,5085,60,3967,39,1730,134,611,130,30817,175,1595,30,1551,196,1916,179,1071,26,539,63,1430,63,1678,22,1631,34,3343,28,4011,30,5219,61,4011,33,1710,154,1112,161
310M300US10180,10180,"Abilene, TX Metro Area",131890,1184,64428,746,4425,227,4618,344,3551,354,2290,129,1963,100,6365,194,4811,185,4135,184,7351,303,7454,161,7753,155,5485,85,3060,175,1167,176,67462,628,4281,167,3880,329,3920,375,2373,120,2152,124,6247,193,4528,165,4221,142,6952,202,7908,157,8447,112,6360,108,4294,290,1899,268
310M300US10220,10220,"Ada, OK Micro Area",26813,135,12991,80,738,26,723,74,722,82,416,24,341,10,1008,31,986,26,888,22,1478,39,1701,36,1680,30,1314,28,758,72,238,71,13822,85,680,25,657,106,813,96,394,10,389,25,1031,26,933,18,799,38,1576,41,1776,42,1864,24,1479,24,1085,78,346,78
310M300US10260,10260,"Adjuntas, PR Micro Area",14396,594,7222,351,611,127,351,117,569,126,281,72,241,35,568,67,353,94,435,66,716,91,871,130,1077,58,704,71,351,64,94,46,7174,344,161,79,477,106,299,115,302,65,190,62,487,72,523,56,459,66,851,95,1075,94,1022,89,759,64,399,79,170,68
310M300US10300,10300,"Adrian, MI Micro Area",91353,386,45417,210,2454,47,2597,213,2949,224,1862,38,1243,57,3107,74,2662,26,2636,57,5474,78,6360,55,6695,36,4655,50,2054,122,669,112,45936,225,2387,19,2511,211,2646,200,1734,40,1135,31,2766,93,2381,32,2430,35,5329,47,6436,44,6968,12,5118,35,2737,168,1358,169
310M300US10380,10380,"Aguadilla-Isabela, PR Metro Area",220100,3602,106360,2026,5324,457,5629,527,7173,558,4293,312,3000,265,8040,344,6749,410,6321,355,12944,544,13582,554,13599,474,11929,400,6142,372,1635,257,113740,1880,4908,399,5779,551,6566,542,4092,291,2929,237,7423,345,6269,409,6477,352,13991,542,15914,509,16023,420,13466,428,7335,485,2568,335
310M300US10420,10420,"Akron, OH Metro Area",575891,662,281623,325,13985,132,14875,601,16539,610,10618,86,8201,96,20704,80,18877,82,16980,85,33038,143,40765,70,42370,60,26887,61,12753,366,5031,364,294268,469,13473,144,13966,487,15816,530,10119,76,8227,64,20951,113,17435,86,16758,73,33156,135,42267,61,44772,67,30427,72,16398,537,10503,532
310M300US10460,10460,"Alamogordo, NM Micro Area",50892,1069,26464,541,1777,105,1621,252,1443,243,886,94,706,50,2432,201,2219,113,1753,113,2916,103,3065,73,3147,114,2683,62,1427,145,389,114,24428,683,1670,125,1610,314,1313,277,849,94,497,78,1502,144,1637,117,1647,74,2611,137,2980,149,3238,150,2649,76,1595,177,630,168
