GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than high school diploma,Margin of Error; Male: - Less than high school diploma,Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),Estimate; Male: - Some college or associate's degree,Margin of Error; Male: - Some college or associate's degree,Estimate; Male: - Bachelor's degree or higher,Margin of Error; Male: - Bachelor's degree or higher,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than high school diploma,Margin of Error; Female: - Less than high school diploma,Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),Estimate; Female: - Some college or associate's degree,Margin of Error; Female: - Some college or associate's degree,Estimate; Female: - Bachelor's degree or higher,Margin of Error; Female: - Bachelor's degree or higher
310M300US10100,10100,"Aberdeen, SD Micro Area",290,106,97,56,0,20,17,26,51,48,29,41,193,97,77,108,5,12,55,55,56,48
310M300US10140,10140,"Aberdeen, WA Micro Area",607,106,594,101,67,51,384,96,133,59,10,12,13,23,1,2,2,5,4,8,6,14
310M300US10180,10180,"Abilene, TX Metro Area",7887,237,5123,209,1254,196,1772,237,1682,248,415,150,2764,99,452,150,699,178,1100,177,513,169
310M300US10220,10220,"Ada, OK Micro Area",523,61,287,51,12,14,78,39,160,63,37,30,236,47,36,45,32,20,101,45,67,38
310M300US10260,10260,"Adjuntas, PR Micro Area",94,79,56,56,17,21,0,21,25,29,14,24,38,33,6,11,13,21,10,17,9,14
310M300US10300,10300,"Adrian, MI Micro Area",1598,148,1352,106,336,109,545,100,394,104,77,46,246,65,19,21,40,36,143,52,44,33
310M300US10380,10380,"Aguadilla-Isabela, PR Metro Area",7039,777,3692,521,1409,399,1129,255,596,200,558,141,3347,472,819,194,894,242,809,218,825,210
310M300US10420,10420,"Akron, OH Metro Area",51707,393,23176,275,3124,351,8614,543,7674,564,3764,486,28531,282,3465,416,8903,581,11044,691,5119,446
310M300US10460,10460,"Alamogordo, NM Micro Area",1290,128,808,112,73,60,200,102,413,66,122,84,482,69,20,21,191,76,122,70,149,72
310M300US10500,10500,"Albany, GA Metro Area",49031,392,21584,247,5088,509,7396,567,6216,571,2884,405,27447,309,5400,443,7379,537,9763,593,4905,535
310M300US10540,10540,"Albany, OR Metro Area",286,89,164,62,5,8,64,62,49,39,46,32,122,65,0,28,0,28,77,77,45,39
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",39798,660,18598,477,3050,460,6877,638,5286,483,3385,357,21200,411,2917,394,6582,477,7454,543,4247,425
310M300US10620,10620,"Albemarle, NC Micro Area",4346,77,2135,53,557,134,795,154,614,121,169,92,2211,37,385,140,827,169,797,131,202,81
310M300US10660,10660,"Albert Lea, MN Micro Area",157,29,116,22,6,9,39,38,71,39,0,18,41,19,3,3,30,16,8,14,0,18
310M300US10700,10700,"Albertville, AL Micro Area",1212,73,669,45,166,47,226,67,183,60,94,46,543,52,135,66,241,69,142,49,25,21
310M300US10740,10740,"Albuquerque, NM Metro Area",14701,392,8217,377,607,161,1599,273,3653,370,2358,367,6484,234,490,138,1091,219,2877,296,2026,279
310M300US10760,10760,"Alexander City, AL Micro Area",7010,162,3031,144,1173,196,1247,218,510,147,101,74,3979,64,1078,246,1447,236,1028,208,426,133
310M300US10780,10780,"Alexandria, LA Metro Area",27606,199,13150,153,3496,420,5897,461,2427,319,1330,290,14456,131,2698,351,5918,418,3972,357,1868,247
310M300US10820,10820,"Alexandria, MN Micro Area",188,68,121,63,34,46,56,38,24,29,7,17,67,51,5,8,25,33,37,49,0,18
310M300US10860,10860,"Alice, TX Micro Area",200,95,133,81,7,14,81,77,39,48,6,13,67,73,27,37,40,41,0,28,0,28
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",26990,672,13481,478,2053,373,5590,507,3606,440,2232,346,13509,366,1617,281,3594,390,4944,462,3354,362
310M300US10940,10940,"Alma, MI Micro Area",1646,124,1572,127,359,84,663,116,499,90,51,59,74,51,18,24,43,45,9,19,4,8
310M300US10980,10980,"Alpena, MI Micro Area",131,40,63,31,13,17,23,16,22,24,5,9,68,36,51,37,3,5,10,11,4,7
310M300US11020,11020,"Altoona, PA Metro Area",1145,139,710,85,76,50,280,96,201,102,153,92,435,99,3,6,211,103,208,79,13,14
310M300US11060,11060,"Altus, OK Micro Area",1062,80,555,46,95,54,145,61,250,82,65,47,507,60,86,63,105,64,276,87,40,43
310M300US11100,11100,"Amarillo, TX Metro Area",9309,235,5753,162,1324,227,2427,248,1629,272,373,130,3556,149,785,194,1041,211,1329,196,401,127
310M300US11140,11140,"Americus, GA Micro Area",10179,249,4565,138,1532,223,1916,293,966,241,151,92,5614,188,1361,259,1810,295,1862,260,581,224
310M300US11180,11180,"Ames, IA Metro Area",890,128,481,104,70,81,37,47,182,114,192,95,409,67,80,79,42,36,90,72,197,115
310M300US11220,11220,"Amsterdam, NY Micro Area",609,126,355,68,135,63,135,51,67,48,18,18,254,93,74,47,111,64,53,49,16,21
310M300US11260,11260,"Anchorage, AK Metro Area",10595,357,5724,217,582,167,1673,283,2664,335,805,186,4871,240,432,181,1283,290,1901,299,1255,199
310M300US11380,11380,"Andrews, TX Micro Area",188,86,96,63,32,47,47,41,8,16,9,17,92,55,6,9,76,58,9,15,1,3
310M300US11420,11420,"Angola, IN Micro Area",20,22,15,22,11,18,4,13,0,24,0,24,5,6,0,24,1,2,3,6,1,2
310M300US11460,11460,"Ann Arbor, MI Metro Area",24813,419,12048,224,1539,239,3183,287,4514,397,2812,310,12765,345,1422,229,2796,271,5065,396,3482,331
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",14755,164,6513,101,1176,197,2485,289,2013,267,839,177,8242,112,1370,272,2613,354,2897,296,1362,241
