GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than high school diploma,Margin of Error; Male: - Less than high school diploma,Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),Estimate; Male: - Some college or associate's degree,Margin of Error; Male: - Some college or associate's degree,Estimate; Male: - Bachelor's degree or higher,Margin of Error; Male: - Bachelor's degree or higher,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than high school diploma,Margin of Error; Female: - Less than high school diploma,Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),Estimate; Female: - Some college or associate's degree,Margin of Error; Female: - Some college or associate's degree,Estimate; Female: - Bachelor's degree or higher,Margin of Error; Female: - Bachelor's degree or higher
310M300US10100,10100,"Aberdeen, SD Micro Area",26663,136,13054,124,1099,217,4402,351,4275,354,3278,323,13609,109,836,193,4095,352,4340,342,4338,342
310M300US10140,10140,"Aberdeen, WA Micro Area",46109,153,23394,103,2713,327,8341,491,8935,499,3405,373,22715,102,2356,348,6860,478,9970,446,3529,366
310M300US10180,10180,"Abilene, TX Metro Area",85825,639,41216,461,4745,405,13675,687,13053,714,9743,602,44609,351,4828,430,13912,584,15082,723,10787,517
310M300US10220,10220,"Ada, OK Micro Area",18901,75,9043,50,1146,175,3157,233,2138,185,2602,224,9858,44,1056,151,3182,191,2594,207,3026,217
310M300US10260,10260,"Adjuntas, PR Micro Area",9859,389,4601,242,1925,219,1376,218,633,139,667,183,5258,199,1677,201,1257,191,1248,188,1076,183
310M300US10300,10300,"Adrian, MI Micro Area",63962,207,31205,142,3017,284,11710,481,10879,426,5599,387,32757,94,2504,279,12050,530,10527,524,7676,516
310M300US10380,10380,"Aguadilla-Isabela, PR Metro Area",154944,2342,72901,1421,26319,1203,20676,931,14652,881,11254,781,82043,1294,24887,927,21233,863,16551,1021,19372,1015
310M300US10420,10420,"Akron, OH Metro Area",408417,326,196701,213,14545,713,65727,1597,52785,1404,63644,1403,211716,213,16072,923,69003,1509,59233,1323,67408,1435
310M300US10460,10460,"Alamogordo, NM Micro Area",34586,567,17599,295,2708,333,5076,501,6230,390,3585,361,16987,378,2274,381,4504,537,6891,518,3318,387
310M300US10500,10500,"Albany, GA Metro Area",47655,274,22822,183,3119,321,7997,512,6901,444,4805,356,24833,197,3006,333,7250,445,8762,375,5815,424
310M300US10540,10540,"Albany, OR Metro Area",77728,375,37645,226,3964,417,11612,728,15410,712,6659,527,40083,195,3233,399,12216,718,16797,643,7837,626
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",525233,836,252011,553,18318,858,67172,1251,73972,1570,92549,1683,273222,461,16076,885,74394,1435,82569,1634,100183,1622
310M300US10620,10620,"Albemarle, NC Micro Area",36519,145,17719,105,2828,290,6359,380,5671,408,2861,316,18800,70,2069,268,5936,429,7379,440,3416,297
310M300US10660,10660,"Albert Lea, MN Micro Area",20912,171,10230,112,1079,132,3856,210,3592,188,1703,148,10682,89,884,147,3806,212,4065,209,1927,177
310M300US10700,10700,"Albertville, AL Micro Area",59391,346,28265,214,5488,474,8973,501,8644,482,5160,393,31126,154,5903,469,9696,545,9903,569,5624,369
310M300US10740,10740,"Albuquerque, NM Metro Area",472795,2874,227400,1593,24007,1300,56680,1676,70666,1700,76047,1511,245395,1602,23723,1207,55950,1494,81094,1510,84628,1443
310M300US10760,10760,"Alexander City, AL Micro Area",21079,141,10179,114,1597,281,3460,403,2845,302,2277,246,10900,48,1407,293,3451,289,3679,309,2363,283
